"Name","Location","Symbol Type","Data Type","Namespace","Source","Reference Count","Offcut Ref Count"
"windowInsideControl","03000fb0","Data Label","undefined2","Global","User Defined","14","0"
"windowOutside+OBJWindowControl","03000fb2","Data Label","undefined2","Global","User Defined","21","0"
"mosaicSize","03000fb4","Data Label","undefined2","Global","User Defined","2","0"
"layerFXControl","03000fb6","Data Label","undefined2","Global","User Defined","59","0"
"alphaBlend","03000fb8","Data Label","undefined2","Global","User Defined","89","0"
"layerBrightness","03000fba","Data Label","undefined2","Global","User Defined","10","0"
"keyInput","03000ff0","Data Label","undefined2","Global","User Defined","65","0"
"InterruptFlag","03001000","Data Label","undefined1","Global","User Defined","78","0"
"functionIndex","03001002","Data Label","undefined1","Global","User Defined","2","0"
"gameTicks","0300100c","Data Label","undefined2","Global","User Defined","13","0"
"rupees","030010a6","Data Label","undefined2","Global","User Defined","5","0"
"enum","030010af","Data Label","undefined1","Global","User Defined","17","0"
"somexPos","030010e0","Data Label","undefined2","Global","User Defined","2","0"
"someyPos","030010e2","Data Label","undefined2","Global","User Defined","2","0"
"var","03001150","Data Label","undefined4","Global","User Defined","5","0"
"linkObj","03001160","Data Label","Entity","Global","User Defined","1378","55"
"LinkState","0300116c","Data Label","actionEnum","Global","User Defined","52","55"
"health2","030011a5","Data Label","byte","Global","User Defined","13","55"
"heldObject","030011d4","Data Label","Entity *","Global","User Defined","10","55"
"LiveItemEntities","030011e8","Data Label","Entity[7]","Global","User Defined","7","6"
"liveEntities","030015a0","Data Label","Entity[72]","Global","User Defined","3","2"
"selfPointer","03003c70","Data Label","undefined4","Global","User Defined","22","0"
"hasTodoWithDMA","03003dbc","Data Label","byte *","Global","User Defined","43","7"
"heldObject","03003f81","Data Label","undefined1","Global","User Defined","9","0"
"heldObject","03003f85","Data Label","undefined1","Global","User Defined","68","0"
"linkAction","03003f8c","Data Label","undefined1","Global","User Defined","65","0"
"flags","03003fb0","Data Label","flagStruct","Global","User Defined","478","0"
"possibleEnum","03003fb9","Data Label","undefined1","Global","User Defined","38","0"
"swordParticle","03003fbe","Data Label","swordParticleStruct","Global","User Defined","3","0"
"destination","030056f0","Data Label","undefined","Global","User Defined","2","0"
"FUN_0300581c","0300581c","Function","undefined","Global","Default","2","0"
"FUN_03005828","03005828","Function","undefined","Global","Default","2","0"
"FUN_0300583c","0300583c","Function","undefined","Global","Default","2","0"
"FUN_03005e60","03005e60","Function","undefined","Global","Default","2","0"
"FUN_03005ff0","03005ff0","Function","undefined","Global","Default","2","0"
"FUN_030060f0","030060f0","Function","undefined","Global","Default","5","0"
"userStack","03007f00","Data Label","undefined","Global","User Defined","1","0"
"pAudioData","03007ff0","Data Label","undefined4","Global","User Defined","28","0"
"ioLCDControl","04000000","Data Label","undefined2","Global","User Defined","30","0"
"ioGeneralLCDStatus","04000004","Data Label","ushort","Global","User Defined","9","0"
"ioVCOUNT","04000006","Data Label","undefined2","Global","User Defined","13","0"
"ioBG0Control","04000008","Data Label","undefined2","Global","User Defined","1","0"
"ioBG1Control","0400000a","Data Label","undefined2","Global","User Defined","1","0"
"ioBG2Control","0400000c","Data Label","undefined2","Global","User Defined","1","0"
"ioBG3Control","0400000e","Data Label","undefined2","Global","User Defined","3","0"
"ioBG0xOffset","04000010","Data Label","undefined2","Global","User Defined","1","0"
"ioBG0yOffset","04000012","Data Label","undefined2","Global","User Defined","1","0"
"ioBG1xOffset","04000014","Data Label","undefined2","Global","User Defined","1","0"
"ioBG1yOffset","04000016","Data Label","undefined2","Global","User Defined","1","0"
"ioBG2xOffset","04000018","Data Label","undefined2","Global","User Defined","1","0"
"ioBG2yOffset","0400001a","Data Label","undefined2","Global","User Defined","1","0"
"ioBG3xOffset","0400001c","Data Label","undefined2","Global","User Defined","7","0"
"ioBG3yOffset","0400001e","Data Label","undefined2","Global","User Defined","1","0"
"ioBG2dx","04000020","Data Label","undefined2","Global","User Defined","4","0"
"ioBG2dmx","04000022","Data Label","undefined2","Global","User Defined","1","0"
"ioBG2dy","04000024","Data Label","undefined2","Global","User Defined","4","0"
"ioBG2dmy","04000026","Data Label","undefined2","Global","User Defined","1","0"
"ioBG2xPointLeastSig","04000028","Data Label","undefined2","Global","User Defined","1","0"
"ioBG2xPointMostSig","0400002a","Data Label","undefined2","Global","User Defined","1","0"
"ioBG2yPointLeastSig","0400002c","Data Label","undefined2","Global","User Defined","1","0"
"ioBG2yPointMostSig","0400002e","Data Label","undefined2","Global","User Defined","1","0"
"ioBG3dx","04000030","Data Label","undefined2","Global","User Defined","1","0"
"ioBG3dmx","04000032","Data Label","undefined2","Global","User Defined","1","0"
"ioBG3dy","04000034","Data Label","undefined2","Global","User Defined","1","0"
"ioBG3dmy","04000036","Data Label","undefined2","Global","User Defined","1","0"
"ioBG3xPointLeastSig","04000038","Data Label","undefined2","Global","User Defined","1","0"
"ioBG3xPointMostSig","0400003a","Data Label","undefined2","Global","User Defined","1","0"
"ioBG3yPointLeastSig","0400003c","Data Label","undefined2","Global","User Defined","1","0"
"ioBG3yPointMostSig","0400003e","Data Label","undefined2","Global","User Defined","1","0"
"ioWindow0HorizontalDimensions","04000040","Data Label","undefined2","Global","User Defined","17","0"
"ioWindow1HorizontalDimensions","04000042","Data Label","undefined2","Global","User Defined","3","0"
"ioWindow0VerticalDimensions","04000044","Data Label","undefined2","Global","User Defined","1","0"
"ioWindow1VerticalDimensions","04000046","Data Label","undefined2","Global","User Defined","1","0"
"ioWindowInsideControl","04000048","Data Label","undefined2","Global","User Defined","1","0"
"ioWindowOutside+OBJWindowControl","0400004a","Data Label","undefined2","Global","User Defined","1","0"
"ioMosaicSize","0400004c","Data Label","undefined2","Global","User Defined","1","0"
"ioLayerFXControl","04000050","Data Label","undefined2","Global","User Defined","1","0"
"ioAlphaBlend","04000052","Data Label","undefined2","Global","User Defined","1","0"
"ioLayerBrightness","04000054","Data Label","undefined2","Global","User Defined","1","0"
"ioChannel1Frequency/Control","04000063","Data Label","undefined1","Global","User Defined","7","0"
"ioChannel2Frequency/Control_MostSig","0400006c","Data Label","undefined","Global","User Defined","5","0"
"ioChannel2Frequency/Control_LeastSig","0400006d","Data Label","undefined1","Global","User Defined","7","0"
"ioChannel3Stop/WaveRAMSelect","04000070","Data Label","undefined1","Global","User Defined","5","0"
"ioChannel3FreqControl","04000074","Data Label","undefined","Global","User Defined","2","0"
"ioChannel4Length/Envelope","04000079","Data Label","undefined1","Global","User Defined","8","0"
"ioChannel4FreqControl","0400007c","Data Label","undefined1","Global","User Defined","5","0"
"ioChannel4Frequency/Control","0400007d","Data Label","undefined1","Global","User Defined","7","0"
"ioChannelLRVolume/Enable","04000080","Data Label","undefined2","Global","User Defined","4","1"
"ioDMASoundControl","04000082","Data Label","undefined2","Global","User Defined","1","0"
"ioSoundControl","04000084","Data Label","undefined2","Global","User Defined","5","0"
"ioSoundBias","04000089","Data Label","undefined1","Global","User Defined","9","0"
"ioCh3WavePatternRam","04000090","Data Label","undefined4","Global","User Defined","2","0"
"ioCh3WavePatternRam","04000094","Data Label","undefined4","Global","User Defined","1","0"
"ioCh3WavePatternRam","04000098","Data Label","undefined4","Global","User Defined","1","0"
"ioCh3WavePatternRam","0400009c","Data Label","undefined4","Global","User Defined","1","0"
"ioSoundChannel1","040000a0","Data Label","undefined","Global","User Defined","2","0"
"dma0Control","040000ba","Data Label","ushort","Global","User Defined","20","0"
"dma1source","040000bc","Data Label","undefined4","Global","User Defined","3","0"
"dma1Destination","040000c0","Data Label","undefined4","Global","User Defined","1","0"
"dma1wordCount","040000c4","Data Label","undefined","Global","User Defined","11","0"
"dma1Control","040000c6","Data Label","ushort","Global","User Defined","14","0"
"dma2Control","040000d2","Data Label","ushort","Global","User Defined","5","0"
"ioDMA3SourceAddress","040000d4","Data Label","undefined4","Global","User Defined","96","0"
"ioDMA3DestinationAddress","040000d8","Data Label","undefined4","Global","User Defined","51","0"
"ioDMA3WordCount","040000dc","Data Label","ushort","Global","User Defined","96","0"
"dma3Control","040000de","Data Label","ushort","Global","User Defined","8","0"
"ioKeyInput","04000130","Data Label","ushort","Global","User Defined","2","0"
"ioKeyInterruptControl","04000132","Data Label","ushort","Global","User Defined","2","0"
"ioInterruptEnableRegister","04000200","Data Label","ushort","Global","User Defined","8","0"
"ioInterruptRequestFlags","04000202","Data Label","ushort","Global","User Defined","2","0"
"ioWaitstateControl","04000204","Data Label","undefined2","Global","User Defined","5","0"
"ioInterruptMasterEnable","04000208","Data Label","undefined2","Global","User Defined","13","0"
"bgPaletteRAM","05000000","Data Label","undefined","Global","User Defined","11","0"
"tileGfxData","06000000","Data Label","undefined","Global","User Defined","10","0"
"bg3TileMapping","0600f000","Data Label","undefined","Global","User Defined","6","0"
"nintendoLogo","08000004","Data Label","struct","Global","User Defined","0","0"
"Entry","080000c0","Function","undefined","Global","User Defined","3","0"
"FUN_08000108","08000108","Function","undefined","Global","Default","8","0"
"FUN_08000148","08000148","Function","undefined","Global","Default","6","0"
"FUN_08000152","08000152","Function","undefined","Global","Default","6","0"
"UpdateCollisionLayer","0800015e","Function","undefined","Global","User Defined","484","0"
"FUN_080001d0","080001d0","Function","undefined","Global","Default","5","0"
"FUN_080001da","080001da","Function","undefined","Global","Default","74","0"
"thunk_EXT_FUN_03005780","0800029c","Thunk Function","undefined","Global","Default","6","0"
"thunk_EXT_FUN_0300579c","080002a0","Thunk Function","undefined","Global","Default","22","0"
"thunk_EXT_FUN_030057a8","080002a4","Thunk Function","undefined","Global","Default","9","0"
"thunk_EXT_FUN_030057bc","080002a8","Thunk Function","undefined","Global","Default","6","0"
"thunk_EXT_FUN_030057d4","080002b0","Thunk Function","undefined","Global","Default","73","0"
"thunk_EXT_FUN_03005800","080002b4","Thunk Function","undefined","Global","Default","16","0"
"thunk_EXT_FUN_0300581c","080002b8","Thunk Function","uint","Global","Default","21","0"
"thunk_EXT_FUN_03005828","080002bc","Thunk Function","undefined","Global","Default","2","0"
"thunk_EXT_FUN_0300583c","080002c0","Thunk Function","undefined","Global","Default","5","0"
"thunk_EXT_FUN_03005854","080002c8","Thunk Function","undefined","Global","Default","33","0"
"thunk_EXT_FUN_03005864","080002cc","Thunk Function","undefined","Global","Default","7","0"
"thunk_EXT_FUN_03005880","080002d0","Thunk Function","undefined","Global","Default","7","0"
"thunk_EXT_FUN_0300588c","080002d4","Thunk Function","undefined","Global","Default","8","0"
"thunk_EXT_FUN_030058b8","080002e0","Thunk Function","undefined","Global","Default","31","0"
"thunk_EXT_FUN_030058c8","080002e4","Thunk Function","undefined","Global","Default","7","0"
"thunk_EXT_FUN_030058f8","080002ec","Thunk Function","undefined","Global","Default","4","0"
"thunk_EXT_FUN_03005918","080002f0","Thunk Function","undefined","Global","Default","9","0"
"FixParam","08000e44","Function","undefined","Global","User Defined","3","0"
"FUN_08000e50","08000e50","Function","undefined","Global","Default","565","0"
"Obfuscate","08000e62","Function","undefined","Global","User Defined","1","0"
"FUN_08000e96","08000e96","Function","undefined","Global","Default","11","0"
"Divide","08000ee0","Function","undefined","Global","User Defined","74","0"
"Divide","08000ee8","Function","undefined","Global","User Defined","78","0"
